,Name,ID,Latitude,Longitude,Rating,Types,Vicinity
0,Shell Select,ChIJgRIv-TAbFgcRoGIiNjzONpk,-12.9482673,-38.4111807,3.0,gas_station,"Av. Prof. Pinto de Aguiar, 2100 - Pituaçu, Salvador"
1,Loja Shell Select - POSTO SHELL - FT COM VAREJISTA LTDA ME,ChIJtUKHNPkZFgcR6WqisCVgDd4,-12.9571844,-38.3919654,4.3,gas_station,"Av. Octávio Mangabeira, SN - Jaguaribe, Salvador"
2,Posto Petrobras,ChIJGQyBhhkZFgcRGgx3fUuOOGQ,-12.95074,-38.39754,0.0,gas_station,"AV.OTAVIO MANGABEIRA, S/N - Patamares, Salvador"
3,Loja Shell Select - POSTO SHELL - AS BENEDITAS COM DE ALIMENTOS LTDA,ChIJ03DSV9obFgcRUhGcxpR-gmg,-12.9645134,-38.437082,5.0,gas_station,"Av. Luís Viana Filho, 2489 - Doron, Salvador"
4,Petrobras,ChIJiQhkra0QFgcRm8EesYqMobE,-12.9375712,-38.3977993,4.0,gas_station,"Av Luiz Viana Filho, km 8, s/n - Alphaville I, Salvador"
5,Loja Shell Select - POSTO SHELL - AS BENEDITAS COM DE ALIMENTOS,ChIJlz50klUbFgcRrYvrEM9TmCI,-12.968225,-38.438635,0.0,gas_station,"Av. Luís Viana Filho, 2078 - Paralela, Salvador"
6,Posto Shell,ChIJHXCJhSsbFgcR6AJWnDLCeaw,-12.9690146,-38.4248666,4.0,gas_station,"Av. Jorge Amado, 80 - Boca do Rio, Salvador"
7,Loja Shell Select - POSTO SHELL - PITUBA DERIVADOS DE PETROLEO LTDA,ChIJLVloDHIbFgcRQTz8AXoGqk0,-13.0045865,-38.4536962,0.0,gas_station,"Av. Octávio Mangabeira, 1283 - Pituba, Salvador"
8,Post Cheapest,ChIJqSOJJ6kQFgcR0K4PtJ4FKuM,-12.9394362,-38.4086869,3.8,gas_station,"Patamares, Salvador"
9,Petrobras,ChIJiWGh2ysRFgcRbqznq-WSVNs,-12.9026865,-38.4045506,3.8,gas_station,"Via Coletora, S/N - A - Cajazeiras, Salvador"
