,Name,ID,Latitude,Longitude,Rating,Types,Vicinity
0,Posto Porrais,ChIJq6qq6oUEFgcR7QGlZcfQCpU,-12.9918318,-38.5204638,5,gas_station,"av Rte Miguel Calmon, 2240 - Canela, Salvador"
1,Menor Preço,ChIJZ6lbA3gDFgcRmSmS1-2koUA,-13.0083798,-38.5266246,3.9,gas_station,"R. Miguel Burnier, 56 - Barra, Salvador"
2,Posto Petrobras,ChIJcX7k4hsDFgcR4LEYDKbLkVI,-13.0083454,-38.5265642,0,gas_station,"R. Miguel Burnier, 01 - Barra, Salvador"
3,Posto Menor Preço,ChIJq5_z-HoDFgcRmQ4E9KYKfaE,-13.0079711,-38.5190945,3.9,gas_station,"Av. Oceânica, 1460 - Ondina, Salvador"
4,Petrobras,ChIJ__-bcIAEFgcROSWWirezo8I,-12.99707,-38.52653,0,gas_station,"R. da Graça, 120 - Graça, Salvador"
5,OFICINA SÃO SALVADOR,ChIJjWvIkpUDFgcRZQ_cajsLxvA,-13.0024347,-38.5143013,5,gas_station,"R. Maria Imac., 19 - Área Limite da BCS Calabar, Salvador"
6,Posto BR,ChIJkwAEK34EFgcRBfG3-h6m3jw,-12.9966117,-38.5269744,3.9,gas_station,"R. da Graça, 59 - Graça, Salvador"
7,Posto do Cristo de Combustiveis,ChIJnU-N9mcDFgcR6Q0IfJMfw4g,-13.0080209,-38.5190272,4.3,gas_station,"Av. Oceânica, 1460 - Ondina, Salvador"
8,Loja Shell Select - POSTO SHELL - AUTO P CENTENARIO COM COMB SER LTDA,ChIJkwrbqnIFFgcRLDF2y4D4IH4,-13.0004852,-38.5170717,4,gas_station,"Av. Centenário, 328 - Chame-Chame, Salvador"
9,Posto Shell,ChIJ9aSQMXkDFgcRQ8i8ScJRhhI,-13.0045733,-38.5236651,3.7,gas_station,"Av. Centenário, 2726 - Chame-Chame, Salvador"
10,Multipostos Comercial de Combustíveis e Peças,ChIJaRgpfIAEFgcRiwV2bXwgJFw,-12.9973184,-38.5265995,0,gas_station,"R. da Graça, 120 - Graça, Salvador"
11,POSTO MARINA,ChIJZxwxR4YEFgcRtT8O8cxYHDo,-12.9915991,-38.5235706,4,gas_station,"Av. Reitor Miguel Calmon, 2240 - Canela, Salvador"
12,Posto Alameda da Barra,ChIJhW06BHgDFgcRTS7F420zmQY,-13.0085657,-38.5266583,4.1,gas_station,"R. Miguel Burnier, 1 - Barra, Salvador"
13,João Cesar Farjala Gusmao,ChIJ28O0xXsDFgcRI6CxZXzru_E,-13.0056025,-38.5222711,3.5,gas_station,"R. José Sátiro de Oliveira, 6 - Chame-Chame, Salvador"
14,Posto Shell,ChIJQVYTXXkDFgcRYR64FM5Gi34,-13.0055456,-38.5223518,4.1,gas_station,"R. Comendador Francisco Pedreira, 131 - Chame-Chame, Salvador"
17,Posto Petrobras,ChIJuyeAe4AEFgcRFbzO9odewwg,-12.99654,-38.52706,4.6,gas_station,"R. da Graça, 06 - Graça, Salvador"
27,Posto Petrobras,ChIJmV2_ydUFFgcRnZnTS95MiQI,-12.9913424,-38.5234162,3.3,gas_station,"Av. Reitor Miguel Calmon, 2240 - VALE DO CANELA, Salvador"
30,Posto Larco,ChIJFbciXJwEFgcRaSGBV1Ertg4,-12.9982855,-38.5134886,3.9,gas_station,"R. Teixeira Mendes, 02 - Área Limite da BCS Calabar, Salvador"
31,Di Mercato,ChIJEfQIZYAEFgcRsGc4igJcqt4,-12.997294,-38.5266485,3.8,gas_station,"R. da Graça, 156 - Graça, Salvador"
32,Shell Select,ChIJA3Blxa0DFgcRuJo5bCgCJ4c,-13.0023633,-38.5213128,0,convenience_store,"Posto Shell - Av. Centenário, 2726 - Centenário, Salvador"
