,Name,ID,Latitude,Longitude,Rating,Types,Vicinity
0,Sindicombustivel,ChIJm8MBoDUbFgcRb0sipucTOBk,-12.9970973,-38.4446483,5,gas_station,"Costa Azul, Salvador"
1,Shell,ChIJNWPIa0QbFgcRmkoqfQffMjA,-12.9960418,-38.4703327,0,gas_station,"Av. Antônio Carlos Magalhães - Pituba, Salvador"
2,Posto Shell - Gas On Line Com E Serv Ltda,ChIJweSQ8KUcFgcRXwo2iekIjkQ,-13.0136014,-38.4743117,4,gas_station,"Av. Amaralina, 441 - Amaralina, Salvador"
3,Posto Shell - Posto Novo Bairro Sa,ChIJM4a6MEIbFgcRAxJDoTWjJ5s,-12.9954978,-38.4691389,3.6,gas_station,"Av. Ant, Av. Antônio Carlos Magalhães, 1298 - Itaigara, Salvador"
4,Loja Shell Select - POSTO SHELL - SRB REV DE COMB E LUBRIF LTDA,ChIJfbcoH30bFgcREWEsHr3VGrs,-12.9868679,-38.4481996,4.4,gas_station,"AV, Rua Arthur de Azevêdo Machado, 1443 - TERR, Salvador"
5,Loja Shell Select - POSTO SHELL - PITUBA DERIVADOS DE PETROLEO LTDA,ChIJLVloDHIbFgcRQTz8AXoGqk0,-13.0045865,-38.4536962,0,gas_station,"Av. Octávio Mangabeira, 1283 - Pituba, Salvador"
6,Select,ChIJbwg_oA4bFgcRFLWa00CjWaw,-12.9886978,-38.4494395,4,convenience_store,"Costa Azul, Salvador"
7,Gnv,ChIJVSg5_6UcFgcRUlOE8ss7mfs,-13.0135959,-38.474257,4.2,gas_station,"R. Visc. de Itaborahy, 550 - Nordeste de Amaralina, Salvador"
8,Shell Select,ChIJQ7C2i1YbFgcReZER29vj47g,-12.9967912,-38.4438644,3.8,gas_station,"Av. Octávio Mangabeira, 3251 - Costa Azul, Salvador"
9,Shell Select,ChIJCw-kBvQbFgcRXbRozCu9eVU,-12.9883264,-38.4707594,4.2,gas_station,"Av. Antônio Carlos Magalhães, 2749 - Parque Bela Vista, Salvador"
10,Loja Shell Select - POSTO SHELL - ENTREPOSTO COMERCIAL DE AMARALINA L,ChIJwfAsZhMdFgcRzqS5cKPGVgQ,-13.013062,-38.4743486,0,gas_station,"Av. Amaralina, 441 - Amaralina, Salvador"
11,Posto Shell,ChIJP2c7bwkbFgcR2VXQ2uc_uFs,-12.9884722,-38.4468105,3.9,gas_station,"R. Dr. Augusto Lopes Pontes, 167 - Costa Azul, Salvador"
12,Lava jato do Fábio,ChIJ89RI6fwbFgcRaHDsSeQvf0U,-12.9902533,-38.4455577,0,gas_station,"R. Des. Manoel Pereira, 105 - Costa Azul, Salvador"
13,Posto Shell,ChIJp7hynA4bFgcRgFNuhv_DcqQ,-12.9888053,-38.4493604,3.8,gas_station,"Av. Prof. Magalhães Neto, 594 - Pituba, Salvador"
14,RANK PITUBA shell (PFOS),ChIJK7LWx3obFgcRxs8CvhyIGyE,-13.0046806,-38.4538754,3.9,gas_station,"Av. Octávio Mangabeira, 1283 - Pituba, Salvador"
15,POSTO KALILANDIA LTDA,ChIJOYNrtjMbFgcR9PmfP1V-JQk,-12.9968373,-38.4437886,4,gas_station,"Av. Octávio Mangabeira, SN - Jaguaribe, Salvador"
16,Posto Petrobras,ChIJJUWYBSgbFgcRVN64OsBVw9U,-13.0005275,-38.4593756,4,gas_station,"Av. Antônio Carlos Magalhães, 3174 - Pituba, Salvador"
17,Posto Shell,ChIJ7fc81mQbFgcRrGIJTh09Aew,-13.0047014,-38.453857,3.8,gas_station,"Av. Octávio Mangabeira, 1283 - Pituba, Salvador"
18,Posto Shell,ChIJibQ26zgbFgcR-ACA0cJeMPI,-12.98855,-38.4706176,4.2,gas_station,"Av. Antônio Carlos Magalhães, 2749 - Parque Bela Vista, Salvador"
19,Shell Select,ChIJA9rzzEcbFgcRPTT8qeWPydE,-12.9957063,-38.4699439,4.5,gas_station,"Av. Antônio Carlos Magalhães, 1298 - Itaigara, Salvador"
20,Panergy,ChIJC-m9XEQbFgcR3ivDm409INo,-12.9949291,-38.4709155,0,gas_station,"Rua Rubens Guelli, 134 - Itaigara, Salvador"
21,Posto Namorado,ChIJI9LCMvIaFgcRmurN7rAWrzU,-13.0005192,-38.4594629,3.9,gas_station,"Av. Acm - Cabula, Salvador"
22,Posto BR,ChIJq0xcbaAcFgcRGpglYZcyMDE,-13.0102588,-38.4652768,3.5,gas_station,"Av. Octávio Mangabeira, 49 - Pituba, Salvador"
23,Hiper Posto- Rede Mataripe,ChIJI9LCMvIaFgcRhiF9h8SMUPA,-12.9883406,-38.4674156,4,gas_station,"Av. Antônio Carlos Magalhães, 3174 - Itaigara, Salvador"
24,Auto Posto Camurupim,ChIJrdnmZ6AcFgcRTcgDVAL9JZ0,-13.0102405,-38.4651548,3.8,gas_station,"Av. Octávio Mangabeira, 429 - Pituba, Salvador"
25,Posto Vela Branca Petrobras,ChIJx89RyqgbFgcR3wQTcMsizBI,-12.9845898,-38.4377302,4.1,gas_station,"Av. Simon Bolívar, s/n - Armação, Salvador"
26,Posto Coopmetro,ChIJW8OdPK8bFgcRwHDV2xyLPwM,-12.9845111,-38.4366748,4.3,gas_station,"R. Antônio da Silva Coelho, 44 - Boca do Rio, Salvador"
37,Loja Shell Select - POSTO SHELL - POSTO DE COMB ITAJAI LTDA,ChIJEaxhInEbFgcRK7fVTNsUtQ0,-12.988814,-38.449458,3.5,gas_station,"Av. Prof. Magalhães Neto, 1304 - GLEBA 20, Salvador"
46,Shell Select,ChIJ6zix_6UcFgcR1lVjwVrnsd0,-13.0135366,-38.4742841,2.8,convenience_store,"Av. Amaralina, 441 - Amaralina, Salvador"
51,Posto Petrobras,ChIJ1VTnJzwbFgcRcI7zF4d70t8,-12.9883536,-38.4673665,3.8,gas_station,"Av. Antônio Carlos Magalhães, 4451 - Brotas, Salvador"
75,Posto Shell Sol Costa Azul,ChIJNWH-yQ4bFgcRj5QPZYp7tfI,-12.9876478,-38.4484864,4.2,gas_station,"Rua Arthur de Azevêdo Machado, 1443 - Costa Azul, Salvador"
